ulke;radarName;Lat_Deg;Lat_Min;Lat_Sec;Lat_Dir;Lon_Deg;Lon_Min;Lon_Sec;Lon_Dir;groundHeight;bands;polarization
CH;La Dôle;46;25;33;N;6;5;59;E;1681;C;D
CH;Mt Lema;46;2;31;N;8;50;2;E;1625;C;D
CZ;Brdy-Praha;49;39;30;N;13;49;4;E;860;C;D
CZ;Skalky;49;30;4;N;16;47;19;E;730;C;D
DK;Sindal;57;29;31;N;10;7;58;E;-999;C;-
DK;Römö;55;10;22;N;8;33;7;E;-999;C;-
DK;Bovuholm;55;23;59;N;14;30;0;E;0;C;S
DK;Steuns;55;19;33;N;12;26;56;E;-999;C;-
GR;Thessaloniki;40;31;12;N;22;58;11;E;-999;S;S
GR;Larissa;39;38;24;N;22;28;11;E;-999;S;S
GR;Andrabida;37;55;12;N;21;18;2;E;-999;C;S
GR;Aigina;37;43;11;N;23;31;11;E;-999;C;S
IE;Shannon;52;42;34;N;8;55;12;W;14;C;S
PT;Cruz do Leão;39;4;19;N;8;23;56;W;-999;C;-
PT;Cavalos do Caldeirão;37;18;17;N;7;57;7;W;0;C;S
BR;Belém;1;24;52;S;48;27;44;W;13;S;S
BR;Boa Vista;2;50;39;N;60;42;9;W;82;S;S
BR;Cruzeiro do Sul;7;35;45;S;72;46;4;W;196;S;S
BR;Macapá;0;2;49;N;51;5;55;W;10;S;S
BR;Manaus;3;8;56;S;59;59;29;W;69;S;S
BR;Porto Velho;8;42;54;S;63;53;37;W;85;S;S
BR;Santarém;2;25;47;S;54;47;56;W;45;S;S
BR;São Gabriel da Cachoeira;0;8;37;S;67;3;25;W;92;S;S
BR;São Luiz;2;35;50;S;44;14;21;W;53;S;S
BR;Tabatinga;4;14;54;S;69;56;8;W;83;S;S
BR;Tefé;3;22;38;S;64;43;14;W;53;S;S
BR;Gama;15;58;35;S;48;0;58;W;1267;S;S
BR;São Roque;23;36;7;S;47;5;39;W;1147;S;S
BR;Pico do Couto;22;27;51;S;43;17;50;W;1771;S;S
BR;Canguçu;31;24;14;S;52;42;6;W;466;S;S
BR;Morro da Igreja;28;7;41;S;49;28;19;W;1808;S;S
BR;Santiago;29;13;50;S;54;55;48;W;433;S;S
BR;Fortaleza;3;47;39;S;38;33;27;W;28;X;S
BR;Quixeramobim;5;4;9;S;39;16;1;W;800;S;S
BR;Teixeira Soares;25;30;19;S;50;21;40;W;1007;S;S
BR;Cascavel (planned);24;52;32;S;53;31;31;W;716;S;D
BR;Mateus Leme;19;56;43;S;44;26;4;W;1270;C;D
BR;Maceio;9;33;4;S;35;46;14;W;102;S;D
BR;Salesópolis;23;36;2;S;45;58;22;W;908;S;S
BR;Salesópolis (Nov 2013);23;36;2;S;45;58;22;W;908;S;D
BR;Pelotas (not working);31;42;59;S;52;18;36;W;21;S;S
BR;Barueri mobile;22;57;16;S;43;14;52;W;0;X;D
BR;Bauru;22;21;28;S;49;1;36;W;624;S;S
BR;Presidente Prudente;22;10;30;S;51;22;22;W;460;S;S
BR;Somar X;23;33;47;S;46;42;23;W;728;X;S
BR;Mogi;23;30;18;S;46;5;43;W;816;S;S
BR;Rio de Janeiro - Sumaré;22;57;16;S;43;14;52;W;681;C;S
BR;Guaratiba;22;59;39;S;43;35;16;W;65;S;D
BR;Macaé (planned);22;24;17;S;41;51;35;W;20;S;D
NZ;Mamuku;38;3;56;S;176;3;43;E;604;C;D
NZ;Hokitika;42;44;18;S;171;3;42;E;334;C;D
AR;Anguil;36;32;23;S;63;59;24;W;160;C;D
AR;Parana;31;50;54;S;60;32;14;W;92;C;D
AR;Pergamino;33;56;46;S;60;33;45;W;70;C;S
AR;Ezeiza International Airport;34;47;16;S;58;32;12;W;20;C;S
KE;DWSR-8501 - MALINDI;3;16;10;S;40;3;1;E;37;S;D
