country;name;x;y
Vietnam;105.68;18.67
Vietnam;105.42;21.47
Vietnam;106.63;20.79
Vietnam;106.73;10.65
Myanmar;96.15;16.9
Myanmar;96.11;21.93
Myanmar;95.32;21.59
